車,選手名,投票締切,発走予定,ハンデ,試走T,偏差,出走表_連率,前1走,前2走,前3走,前4走,前5走,前6走,前7走,前9走,前10走,90平均ST,90良10平競,90良10平試,180良2連,180湿2連,通算優勝,通算2連,前日予想タイム,総合スコア,前日予想着順
1,上原　大輝,21:48,21:50,0,-,104,"2連率
40.0
3連率
50.0",04/11川 1着7R 3.412 3.33 ST 0.13,04/07川 4着7R 3.521 3.58 ST 0.20,04/06川 1着7R 3.454 3.36 ST 0.17,04/05川 7着10R 3.476 3.36 ST 0.16,03/28川 5着8R 3.498 3.38 ST 0.17,03/27川 2着5R 3.476 3.35 ST 0.20,03/26川 5着4R 3.923 3.80 ST 0.15,03/16伊 3着2R 3.463 3.35 ST 0.13,03/15伊 7着12R 3.479 3.35 ST 0.12,0.16,3.454,3.399 (川),-,-,-,-,3.46,174.8,2
2,川原　　剛,21:48,21:50,10,-,61,"2連率
40.0
3連率
50.0",04/11川 1着5R 3.426 3.37 ST 0.09,04/07川 7着11R 3.442 3.36 ST 0.14,04/06川 3着10R 3.445 3.35 ST 0.14,04/05川 1着2R 3.423 3.38 ST 0.05,03/26山 1着3R 3.454 3.34 ST 0.25,03/25山 4着2R 3.684 3.63 ST 0.20,03/24山 4着6R 3.431 3.34 ST 0.18,03/17伊 4着9R 3.463 3.40 ST 0.12,03/16伊 1着7R 3.455 3.40 ST 0.20,0.16,3.441,3.421 (川),-,-,-,-,3.457,172.95,3
3,深谷　　輝,21:48,21:50,20,-,93,"2連率
60.0
3連率
70.0",04/11川 3着6R 3.440 3.35 ST 0.14,04/07川 1着6R 3.668 3.61 ST 0.09,04/06川 1着5R 3.455 3.36 ST 0.24,04/05川 7着2R 3.460 3.36 ST 0.14,03/28川 4着1R 3.447 3.32 ST 0.15,03/27川 1着5R 3.451 3.35 ST 0.32,03/26川 6着10R 3.732 3.71 ST 0.16,03/16伊 1着9R 3.417 3.33 ST 0.10,03/15伊 1着9R 3.436 3.33 ST 0.08,0.15,3.443,3.401 (伊),-,-,-,-,3.472,163.35,5
4,中山　　透,21:48,21:50,20,-,104,"2連率
20.0
3連率
70.0",04/11川 3着3R 3.425 3.32 ST 0.24,04/07飯 2着5R 3.465 3.35 ST 0.24,04/06飯 3着8R 3.446 3.34 ST 0.13,04/06飯 3着3R 3.465 3.34 ST 0.31,04/05飯 3着1R 3.472 3.34 ST 0.22,04/04飯 7着9R 3.457 3.34 ST 0.11,03/26山 3着4R 3.420 3.36 ST 0.28,03/24山 4着5R 3.420 3.31 ST 0.15,03/24山 5着1R 3.421 3.31 ST 0.21,0.19,3.444,3.415 (山),-,-,-,-,3.477,152.8,6
5,中野　憲人,21:48,21:50,20,-,108,"2連率
30.0
3連率
50.0",04/11川 3着7R 3.403 3.31 ST 0.16,04/07川 ④着12R 3.408 3.30 ST 0.06,04/06川 1着10R 3.431 3.33 ST 0.15,04/05川 2着11R 3.425 3.32 ST 0.10,03/22飯 4着7R 3.736 3.61 ST 0.21,03/21飯 3着7R 3.404 3.29 ST 0.18,03/20飯 4着5R 3.412 3.30 ST 0.09,03/08川 4着8R 3.450 3.34 ST 0.09,03/07川 5着3R 3.434 3.34 ST 0.18,0.16,3.418,3.403 (川),-,-,-,-,3.448,166.6,4
6,山際　真介,21:48,21:50,20,-,87,"2連率
30.0
3連率
60.0",04/11川 3着4R 3.438 3.34 ST 0.13,04/07川 8着10R 3.455 3.35 ST 0.10,04/06川 6着9R 3.457 3.37 ST 0.09,04/05川 3着9R 3.441 3.34 ST 0.07,03/28川 1着11R 3.429 3.35 ST 0.10,03/27川 3着12R 3.420 3.34 ST 0.15,03/26川 1着2R 3.810 3.73 ST 0.26,03/21浜 2着8R 3.441 3.36 ST 0.09,03/20浜 7着6R 3.445 3.36 ST 0.04,0.12,3.437,3.416 (浜),-,-,-,-,3.462,152.65,7
7,森　　且行,21:48,21:50,30,-,106,"2連率
40.0
3連率
50.0",04/11川 1着8R 3.394 3.31 ST 0.24,04/07川 ⑤着12R 3.401 3.28 ST 0.12,04/06川 2着11R 3.404 3.31 ST 0.05,04/05川 1着8R 3.414 3.31 ST 0.14,03/28川 8着11R 3.444 3.34 ST 0.11,03/27川 4着10R 3.419 3.31 ST 0.13,03/26川 4着3R 3.834 3.76 ST 0.15,03/21浜 8着11R 3.442 3.31 ST 0.08,03/20浜 2着6R 3.397 3.32 ST 0.09,0.11,3.416,3.394 (川),-,-,-,-,3.453,176.7,1
